solver_id,n_competitions,n_solves,first_comp,last_comp,career_days,career_years,last_avg_s,skill_tier
2017GARR05,268,3933,2017-06-25,2026-06-05,3267,8.944558521560575,5.925,T1_fast
2013WALL03,297,3512,2013-09-14,2026-06-14,4656,12.747433264887064,8.456666666666667,T1_fast
2009LIUE01,267,3504,2009-05-30,2026-06-13,6223,17.037645448323065,8.9375,T1_fast
2012MAHV01,242,3473,2012-09-02,2026-05-23,5011,13.71937029431896,8.539166666666667,T1_fast
2014ZAKR01,233,3240,2014-02-22,2026-06-13,4494,12.303901437371664,9.2425,T1_fast
2012PARK03,203,3107,2012-08-18,2026-05-23,5026,13.760438056125942,6.519166666666667,T1_fast
2015KUCA01,213,3040,2015-10-24,2026-06-05,3877,10.614647501711156,7.4375,T1_fast
2014SEBA01,191,2964,2014-05-10,2026-06-06,4410,12.073921971252567,6.860833333333333,T1_fast
2013BURL01,198,2847,2013-09-28,2026-05-30,4627,12.668035592060233,8.251666666666667,T1_fast
2010WEYE02,186,2838,2010-06-12,2026-05-08,5809,15.904175222450377,6.926666666666667,T1_fast
2010HULL01,238,3424,2010-07-31,2026-06-13,5796,15.868583162217659,9.3925,T2_mid
2008BARA01,214,3001,2008-08-23,2026-05-30,6489,17.765913757700204,9.583333333333334,T2_mid
2010THOM03,200,2848,2010-06-05,2026-05-09,5817,15.926078028747433,9.354166666666666,T2_mid
2016KELL12,205,2774,2016-09-03,2026-06-05,3562,9.752224503764545,10.083333333333334,T2_mid
2014PETE03,212,2771,2014-05-10,2026-06-13,4417,12.093086926762492,10.2475,T2_mid
2011WELC01,196,2616,2011-10-29,2026-05-30,5327,14.584531143052704,10.336666666666666,T2_mid
2014GOSL01,187,2411,2014-05-10,2026-05-16,4389,12.016427104722792,10.509166666666667,T2_mid
2011GROG02,179,2380,2011-11-19,2026-05-23,5299,14.507871321013004,9.543333333333333,T2_mid
2006HALC01,171,2260,2008-05-10,2023-11-19,5671,15.526351813826146,10.481666666666667,T2_mid
2005AKKE01,167,2254,2005-10-29,2026-05-30,7518,20.583162217659137,9.4475,T2_mid
2009PROV01,282,3760,2009-12-07,2026-05-30,6018,16.476386036960985,11.886666666666665,T3_mid
2012CANT02,209,2949,2012-04-01,2026-05-30,5172,14.160164271047227,10.844166666666666,T3_mid
2010RONK01,224,2922,2010-02-27,2026-06-05,5942,16.268309377138944,11.636666666666665,T3_mid
2012ICKL01,205,2699,2012-04-14,2026-05-30,5159,14.124572210814511,10.615,T3_mid
2009HILD01,218,2612,2009-03-28,2026-05-21,6263,17.14715947980835,11.695833333333333,T3_mid
2011SZAT01,195,2470,2011-02-12,2026-06-17,5604,15.342915811088295,11.1425,T3_mid
2010BENT01,196,2466,2010-01-16,2026-05-01,5949,16.28747433264887,11.490833333333333,T3_mid
2013TOKA01,194,2450,2013-12-14,2026-06-13,4564,12.49555099247091,11.458333333333334,T3_mid
2007GOUL01,177,2422,2007-10-05,2026-05-09,6791,18.5927446954141,10.899166666666666,T3_mid
2005REYN01,204,2416,2005-12-10,2025-07-03,7145,19.561943874058862,11.831666666666665,T3_mid
2010ROSE03,313,3779,2010-12-11,2026-06-12,5662,15.501711156741958,14.395000000000001,T4_mid
2013ROGA02,302,3136,2013-12-14,2026-06-17,4568,12.506502395619439,12.025833333333333,T4_mid
2008AURO01,227,2797,2008-04-19,2026-05-16,6601,18.072553045859,14.100833333333334,T4_mid
2014JIME05,216,2703,2014-09-27,2026-06-12,4276,11.707049965776864,13.995,T4_mid
2010AMBR01,195,2404,2010-06-26,2026-04-25,5782,15.83025325119781,12.050833333333335,T4_mid
2009ZHEN11,257,2197,2009-08-16,2026-05-30,6131,16.78576317590691,14.3775,T4_mid
2008VIRO01,193,2118,2008-05-31,2026-05-30,6573,17.9958932238193,12.0075,T4_mid
2009ROTA01,162,2083,2009-12-07,2026-05-09,5997,16.418891170431213,12.539166666666667,T4_mid
2015SANC18,150,2069,2015-11-14,2026-05-16,3836,10.50239561943874,12.118333333333332,T4_mid
2020DWOR01,219,2055,2020-08-22,2026-06-17,2125,5.817932922655715,12.958333333333334,T4_mid
2011EDUA01,325,4264,2011-10-02,2026-06-12,5367,14.694045174537989,14.405833333333334,T5_slow
2003BRUC01,260,2782,2003-08-23,2026-06-06,8323,22.78713210130048,15.7025,T5_slow
2010GRAC02,283,2686,2010-03-20,2026-06-13,5929,16.23271731690623,17.6875,T5_slow
2003DENN01,250,2365,2003-08-23,2026-06-06,8323,22.78713210130048,24.86916666666667,T5_slow
2015NICH04,236,2111,2015-11-07,2026-06-13,3871,10.598220396988363,18.3425,T5_slow
2013DICK01,217,1952,2013-07-26,2026-05-30,4691,12.843258042436688,16.754166666666666,T5_slow
2013MART03,276,1872,2013-02-23,2026-05-23,4837,13.242984257357975,20.229166666666668,T5_slow
2007OEYM01,242,1797,2007-02-24,2026-06-06,7042,19.279945242984258,24.708333333333332,T5_slow
2013PAPA01,173,1763,2013-11-09,2026-05-23,4578,12.53388090349076,15.629166666666668,T5_slow
2012REYE04,206,1699,2012-08-27,2026-06-13,5038,13.793292265571527,14.555833333333334,T5_slow
